img_name,mean,std
30N_4062_3943_13-2019-11-01,"[264.8193645477295, 550.1004648208618, 434.44634342193604, 3264.413498878479]","[144.35328042557592, 146.5720298728158, 248.06266537676896, 686.7389066722199]"
30N_4062_3943_13-2019-11-07,"[283.3695650100708, 565.7694330215454, 455.9577980041504, 3272.56223487854]","[149.83054814509387, 153.26119136400413, 259.30770628790765, 659.4556691095162]"
30N_4062_3943_13-2019-11-14,"[313.27978897094727, 584.9197978973389, 493.4621982574463, 3201.1709299087524]","[135.47760215801353, 144.55785688360788, 248.10378299124304, 524.8798569844678]"
30N_4062_3943_13-2019-11-21,"[351.3657417297363, 607.0021705627441, 534.47105884552, 3088.9906492233276]","[114.13377017063415, 128.7200900068399, 223.20853669486948, 411.66400852398505]"
30N_4062_3943_13-2019-11-28,"[395.66309928894043, 627.2777442932129, 579.8977727890015, 2999.0535221099854]","[123.85644336996016, 145.984845599251, 248.03191900377394, 424.592101863664]"
30N_4062_3943_13-2019-12-01,"[408.8216037750244, 630.5531854629517, 591.1653499603271, 2970.2919511795044]","[127.01096701707374, 150.43290585490857, 253.3625977849872, 431.5500675530521]"
30N_4062_3943_13-2019-12-07,"[408.2302837371826, 621.7954969406128, 599.4044189453125, 2895.9531440734863]","[129.2823972234283, 152.15997532390017, 264.79369749452644, 440.64854041220497]"
30N_4062_3943_13-2019-12-14,"[411.22351455688477, 617.5667924880981, 607.4732646942139, 2766.531964302063]","[103.97571069376956, 127.9004494038581, 232.72108120120623, 353.0766130884608]"
30N_4062_3943_13-2019-12-21,"[432.54625511169434, 631.8185920715332, 648.6147108078003, 2615.641406059265]","[80.54381337181229, 106.40880470103501, 201.74834272760424, 281.065827015594]"
30N_4062_3943_13-2019-12-28,"[454.492356300354, 659.0972099304199, 697.1535091400146, 2526.8526287078857]","[83.53916452811414, 105.39834637112624, 199.59796202219258, 278.29631096261147]"
31N_4127_2991_13-2018-01-01,"[403.51841163635254, 504.6323766708374, 616.8349962234497, 1604.494059562683]","[214.5338434995734, 234.23894032736524, 307.5216100778523, 591.8288416836598]"
31N_4127_2991_13-2018-01-07,"[413.95859146118164, 522.7871170043945, 624.7692174911499, 1654.7801580429077]","[218.89501468171528, 242.02003088604178, 311.43720878336103, 608.5861847846795]"
31N_4127_2991_13-2018-01-14,"[405.15705585479736, 527.1062326431274, 624.3489475250244, 1695.9760398864746]","[223.84156068272927, 245.7976417142566, 311.93373593700056, 599.085160446037]"
31N_4127_2991_13-2018-01-21,"[388.40070056915283, 524.5736503601074, 622.7500743865967, 1751.1452350616455]","[229.9468033651664, 253.12377228263492, 318.62089721353976, 614.9394048396313]"
31N_4127_2991_13-2018-01-28,"[403.2604274749756, 551.2085094451904, 640.1839799880981, 1802.095139503479]","[231.5403919554141, 256.4262864116046, 322.96378904113027, 620.8742149658245]"
31N_4127_2991_13-2018-02-01,"[425.7860345840454, 579.8477153778076, 659.7732448577881, 1837.5178442001343]","[235.4040981584468, 255.98810157261295, 323.3193309252276, 610.1396544170112]"
31N_4127_2991_13-2018-02-07,"[470.18098640441895, 632.7141265869141, 698.4785432815552, 1915.895450592041]","[250.57768094051414, 268.0780655489435, 343.092129094501, 622.8695544812717]"
31N_4127_2991_13-2018-02-14,"[490.32594108581543, 659.08655834198, 724.118236541748, 1953.620008468628]","[232.58164443190282, 243.477226721218, 310.7856813125928, 587.9623606763222]"
31N_4127_2991_13-2018-02-21,"[514.9853763580322, 692.830976486206, 760.5639667510986, 1995.1663694381714]","[260.9106543664348, 268.23234731692384, 335.1732817697549, 605.5999809897598]"
31N_4127_2991_13-2018-02-28,"[530.5372858047485, 718.8561792373657, 778.6055927276611, 2079.6545000076294]","[289.5779293901075, 295.94237426453236, 366.48783248875617, 645.5061690881729]"
31N_4127_2991_13-2018-03-01,"[536.8143787384033, 726.436487197876, 787.1913070678711, 2094.9935417175293]","[290.60157073884966, 296.12017601301915, 366.8766956424059, 646.4077333283568]"
31N_4127_2991_13-2018-03-07,"[554.3203020095825, 747.5541830062866, 818.6514987945557, 2197.5806980133057]","[203.90256465471705, 216.8452873600824, 276.9347128502156, 581.4844858796995]"
31N_4127_2991_13-2018-03-14,"[531.8340864181519, 751.8460788726807, 809.229736328125, 2294.718152999878]","[259.6524817009611, 269.36488057654026, 353.21176362141966, 662.858904801596]"
31N_4127_2991_13-2018-03-21,"[568.3935346603394, 781.938307762146, 833.9316253662109, 2301.7256622314453]","[268.3249461142215, 264.7112660052104, 347.35353319896785, 641.3993305957689]"
31N_4127_2991_13-2018-03-28,"[572.2129306793213, 786.7424640655518, 830.970175743103, 2324.467272758484]","[292.0584083368729, 278.19895012191057, 362.7989381873277, 622.2788696449657]"
31N_4127_2991_13-2018-04-01,"[545.2039480209351, 771.4022207260132, 812.1433124542236, 2369.281035423279]","[288.8054729857395, 277.90510706028135, 365.75266813485433, 641.5493378472319]"
31N_4127_2991_13-2018-04-07,"[574.2020626068115, 802.5105428695679, 831.9464836120605, 2461.8317546844482]","[298.98802990919086, 283.4195025557486, 376.97222566982646, 640.7126935490176]"
31N_4127_2991_13-2018-04-14,"[588.9968366622925, 813.2713289260864, 835.1335096359253, 2534.319309234619]","[286.00899544905695, 267.1491915923135, 376.4331638065773, 631.939341977243]"
31N_4127_2991_13-2018-04-21,"[583.5398073196411, 823.8646087646484, 833.7873048782349, 2706.8526468276978]","[316.6056301374255, 280.7526977741948, 411.5015033938326, 698.71228846792]"
31N_4127_2991_13-2018-04-28,"[574.0623455047607, 819.4045791625977, 824.2020568847656, 2733.209729194641]","[323.403077749024, 285.43133469866734, 423.4413036305701, 708.5080328185029]"
31N_4127_2991_13-2018-05-01,"[573.3911733627319, 816.5723943710327, 816.0364646911621, 2750.743472099304]","[341.9005519509163, 300.27132888312974, 447.2176968872049, 742.3729521090423]"
31N_4127_2991_13-2018-05-07,"[555.4814739227295, 812.0683689117432, 801.6066751480103, 2756.3893690109253]","[318.95946330346635, 284.5948914842011, 425.6747840408505, 709.378303557952]"
31N_4127_2991_13-2018-05-14,"[544.9344892501831, 800.6373472213745, 783.2449045181274, 2816.2813091278076]","[364.35009538510025, 319.1640417471655, 476.5290042952863, 744.6057172344198]"
31N_4127_2991_13-2018-05-21,"[531.9666118621826, 789.8612232208252, 767.9243288040161, 2833.351704597473]","[356.4011093619574, 316.78335332380976, 471.05439865994754, 732.7344561803411]"
31N_4127_2991_13-2018-05-28,"[525.3238983154297, 786.5488147735596, 764.0385437011719, 2824.161142349243]","[347.6940620344398, 314.560461438832, 463.07886503313927, 712.4125992154659]"
31N_4127_2991_13-2018-06-01,"[526.2797222137451, 781.8744688034058, 763.6776294708252, 2814.077184677124]","[344.90850962152786, 314.7400638285369, 458.23085379374817, 700.1524064194198]"
31N_4127_2991_13-2018-06-07,"[538.9370422363281, 793.9235734939575, 781.9182300567627, 2801.259021759033]","[326.961200756798, 320.0273053027085, 438.3844800857659, 674.1226452833929]"
31N_4127_2991_13-2018-06-14,"[556.5533456802368, 807.5577421188354, 811.4996328353882, 2780.34711933136]","[320.84538807371774, 322.01604565021944, 433.0735271015683, 654.7133123032884]"
31N_4127_2991_13-2018-06-21,"[569.4092836380005, 815.8718881607056, 842.5683975219727, 2762.339877128601]","[325.5567223788691, 326.4537384579512, 439.45619228587725, 648.9239877035693]"
31N_4127_2991_13-2018-06-28,"[584.3816566467285, 822.2790842056274, 866.2089433670044, 2734.5650939941406]","[325.7039080857302, 316.9133367240082, 429.64662138531634, 602.445417628141]"
31N_4127_2991_13-2018-07-01,"[577.0829620361328, 814.8243732452393, 861.700569152832, 2710.5694284439087]","[329.1854626613955, 323.462319387542, 435.8933029509884, 584.0836974757866]"
31N_4127_2991_13-2018-07-07,"[593.018404006958, 822.6746377944946, 877.5997705459595, 2695.7264099121094]","[350.4889292347264, 345.39018008524994, 468.39190461119057, 620.0629224584296]"
31N_4127_2991_13-2018-07-14,"[595.0537338256836, 822.2414646148682, 877.256667137146, 2634.581434249878]","[314.05720451243656, 308.2985649998051, 428.0861271638407, 577.0429667951375]"
31N_4127_2991_13-2018-07-21,"[579.0505228042603, 808.5985527038574, 857.7616271972656, 2640.049798965454]","[332.4601148739496, 331.8514463260732, 442.53783131778266, 582.0368931173695]"
31N_4127_2991_13-2018-07-28,"[584.5233383178711, 802.5713748931885, 856.5388221740723, 2615.2511167526245]","[328.6237342709463, 327.49175016213087, 445.11179898236577, 594.924190223035]"
31N_4127_2991_13-2018-08-01,"[595.0212926864624, 812.8702602386475, 880.9656391143799, 2619.665587425232]","[332.98527463596326, 328.56254059520234, 442.1642715876911, 580.0977515889485]"
31N_4127_2991_13-2018-08-07,"[600.9081134796143, 820.7681007385254, 898.1629123687744, 2582.396876335144]","[322.83762015751165, 324.82143695663075, 437.6093173757779, 576.7690848088904]"
31N_4127_2991_13-2018-08-14,"[605.7406244277954, 818.8960180282593, 906.9931802749634, 2536.134909629822]","[293.990098555117, 299.67198685406123, 403.96153927929356, 531.1698798982757]"
31N_4127_2991_13-2018-08-21,"[598.4198751449585, 806.6463212966919, 900.0329723358154, 2454.30069065094]","[311.53515406452624, 317.08980784556604, 424.4289152995982, 559.9858652171431]"
31N_4127_2991_13-2018-08-28,"[594.1415281295776, 802.9793405532837, 907.8638429641724, 2440.6278038024902]","[315.8012216930317, 324.42559609699646, 428.1549159511216, 540.254129016034]"
31N_4127_2991_13-2018-09-01,"[599.3588552474976, 811.187578201294, 915.3416061401367, 2429.907738685608]","[326.5923744903958, 336.7070088393243, 439.4075282602272, 533.8620012928542]"
31N_4127_2991_13-2018-09-07,"[590.6702661514282, 800.4997100830078, 897.0872373580933, 2408.539779663086]","[317.04936175278704, 326.9437718854153, 432.2758726238623, 538.825770473846]"
31N_4127_2991_13-2018-09-14,"[588.3322668075562, 793.4282913208008, 887.8185958862305, 2351.983247756958]","[322.228235060075, 338.92576803925465, 451.23960436952154, 553.2980686183421]"
31N_4127_2991_13-2018-09-21,"[602.5863542556763, 800.0423908233643, 898.9775457382202, 2337.2837886810303]","[315.93522015770003, 336.3053897569371, 443.04479187233875, 550.201779227903]"
31N_4127_2991_13-2018-09-28,"[612.6265096664429, 813.1920709609985, 922.4575128555298, 2340.6859798431396]","[322.6610580002761, 347.9240218642465, 456.44655823096355, 570.0657101863354]"
31N_4127_2991_13-2018-10-01,"[615.9153203964233, 821.8057680130005, 930.2951564788818, 2352.2027139663696]","[323.52831102573947, 348.89801029649595, 458.25403012444787, 586.0395118066457]"
31N_4127_2991_13-2018-10-07,"[591.5713367462158, 789.9502372741699, 906.2843523025513, 2270.6550722122192]","[296.91115484811615, 330.7347782686088, 433.68107177910997, 554.7245618794846]"
31N_4127_2991_13-2018-10-14,"[549.3273210525513, 752.0010738372803, 833.9677238464355, 2239.737627029419]","[273.573261396262, 299.1623300911246, 393.12557148811, 548.0178644620865]"
31N_4127_2991_13-2018-10-21,"[520.6756048202515, 725.9803342819214, 770.2198991775513, 2244.546739578247]","[270.92553125013524, 287.16355782161236, 391.6351032852393, 614.7495742828128]"
31N_4127_2991_13-2018-10-28,"[524.361325263977, 721.0665102005005, 749.1491203308105, 2235.0140771865845]","[273.5556385506579, 285.1878974413724, 405.00035996473883, 668.062981168593]"
31N_4127_2991_13-2018-11-01,"[527.5346450805664, 717.3108997344971, 745.6871252059937, 2231.7756748199463]","[266.56595339652483, 276.4942640879975, 396.5135725462305, 675.9197454255836]"
31N_4127_2991_13-2018-11-07,"[497.5012731552124, 673.0851335525513, 713.7715892791748, 2183.5353784561157]","[243.9985764889941, 256.88596863212075, 368.2221803823605, 671.172272815795]"
31N_4127_2991_13-2018-11-14,"[438.74335384368896, 600.7851543426514, 636.7242660522461, 2090.778223991394]","[259.8021724506267, 276.16863297500606, 379.3514966136448, 711.0117713401862]"
31N_4127_2991_13-2018-11-21,"[443.3921947479248, 578.4770002365112, 618.2048673629761, 2059.609679222107]","[294.57975366824957, 298.741876329422, 411.80637431553737, 774.1436895477077]"
31N_4127_2991_13-2018-11-28,"[457.5880422592163, 603.7123823165894, 658.7372388839722, 2088.6590490341187]","[261.2589387815987, 276.36033103290583, 367.6495671107003, 793.0410501097853]"
31N_4127_2991_13-2018-12-01,"[460.92167472839355, 608.9068593978882, 665.3975973129272, 2091.492603302002]","[252.13829408536475, 271.83054035010395, 353.01434040700394, 774.1216063660712]"
31N_4127_2991_13-2018-12-07,"[471.4292516708374, 598.5779132843018, 655.7867088317871, 2061.0252742767334]","[230.94178627493312, 256.35213872316206, 312.74620256779605, 686.606560287907]"
31N_4127_2991_13-2018-12-14,"[456.1133337020874, 578.1389741897583, 643.8170289993286, 2072.92875957489]","[252.0302374889303, 265.1253693598939, 335.0187767607756, 739.6904334498171]"
31N_4127_2991_13-2018-12-21,"[441.89907932281494, 570.3018980026245, 616.4755907058716, 1998.9221258163452]","[227.34216555385268, 244.84361087576042, 319.6593650679426, 774.9792232854211]"
31N_4127_2991_13-2018-12-28,"[444.504656791687, 574.7804670333862, 625.7310600280762, 2000.162441253662]","[193.3555457797844, 202.7786144266257, 272.1953222643846, 737.3196570830419]"
31N_4127_2991_13-2019-01-01,"[423.1668424606323, 601.3200511932373, 644.1195850372314, 2014.6933498382568]","[248.98103946365404, 255.4527857681378, 340.17059518357416, 775.2042993029851]"
31N_4127_2991_13-2019-01-07,"[417.5341396331787, 598.7022228240967, 637.2582855224609, 1996.8653383255005]","[238.1517486004091, 241.9151600727459, 317.93341504267056, 727.7115378261348]"
31N_4127_2991_13-2019-01-14,"[424.4381351470947, 600.3912744522095, 642.4715824127197, 2011.2764530181885]","[232.6694714149077, 241.36815250454143, 301.31927110289865, 714.6231453375875]"
31N_4127_2991_13-2019-01-21,"[419.5292263031006, 598.5988960266113, 630.3873958587646, 2042.8533267974854]","[239.42761565414207, 249.76406765455687, 311.6808774933825, 734.7795141962869]"
31N_4127_2991_13-2019-01-28,"[413.06168937683105, 596.4704313278198, 625.4143047332764, 2080.558132171631]","[237.54084279190084, 251.4425825121135, 310.2904318709602, 734.8424589388665]"
31N_4127_2991_13-2019-02-01,"[431.2879705429077, 616.0784769058228, 649.0149869918823, 2102.2042713165283]","[250.18305011883555, 261.150691986215, 324.7963425216012, 740.1528195935623]"
31N_4127_2991_13-2019-02-07,"[456.3066711425781, 648.3527431488037, 683.9786939620972, 2171.445791244507]","[236.87715132725094, 251.12865478390927, 315.5588128291387, 784.7215172645151]"
31N_4127_2991_13-2019-02-14,"[492.51277446746826, 697.402027130127, 738.3926382064819, 2256.4826736450195]","[269.2927203823968, 284.1835187688929, 354.5765016347837, 823.7186186323543]"
31N_4127_2991_13-2019-02-21,"[517.211033821106, 723.8862342834473, 764.370753288269, 2277.7629013061523]","[280.0164540776062, 290.39457112290603, 378.6290805225742, 855.3110167805665]"
31N_4127_2991_13-2019-02-28,"[531.3195447921753, 728.2562665939331, 785.871678352356, 2245.727807044983]","[266.4734296992134, 284.99642282938464, 360.9935716055094, 788.9635233763483]"
31N_4127_2991_13-2019-03-01,"[532.1543703079224, 729.8625040054321, 787.5030355453491, 2259.467257499695]","[269.21099994901056, 286.81747979427763, 364.06786395311906, 788.7639123344703]"
31N_4127_2991_13-2019-03-07,"[546.0844850540161, 754.8282537460327, 804.1741065979004, 2370.0292358398438]","[298.413152512088, 307.1510919944731, 396.28258197585905, 826.1579054599285]"
31N_4127_2991_13-2019-03-14,"[555.1753330230713, 772.2608709335327, 819.3096265792847, 2452.1361351013184]","[307.19905921558484, 303.9699723691135, 406.98856853846104, 880.1640619284366]"
31N_4127_2991_13-2019-03-21,"[554.3675107955933, 776.8201484680176, 821.0304584503174, 2501.661120414734]","[316.60693773501436, 308.527589887593, 425.02637656907376, 881.4636178026002]"
31N_4127_2991_13-2019-03-28,"[557.5912294387817, 784.6347274780273, 834.4914093017578, 2493.513801574707]","[317.6977593525442, 310.19755704038914, 416.04240997094445, 770.0546890197414]"
31N_4127_2991_13-2019-04-01,"[505.25292205810547, 742.7804660797119, 801.894359588623, 2490.926010131836]","[280.58245411380415, 278.35831040939115, 388.7036996113335, 690.931407749138]"
31N_4127_2991_13-2019-04-07,"[535.2374038696289, 771.645320892334, 814.7945499420166, 2537.7632904052734]","[277.1341977752593, 271.0728630528447, 379.1244832155711, 693.3491884421622]"
31N_4127_2991_13-2019-04-14,"[557.1559438705444, 791.9976263046265, 816.6018762588501, 2605.5794439315796]","[280.0254127434934, 266.125525379678, 381.91192381647915, 677.3349526917208]"
31N_4127_2991_13-2019-04-21,"[545.6481981277466, 785.7626476287842, 787.1857900619507, 2652.91823387146]","[339.78074859474873, 315.3604202729736, 452.75064131556945, 735.2253563258807]"
31N_4127_2991_13-2019-04-28,"[565.601037979126, 802.603554725647, 808.2869920730591, 2718.0025453567505]","[358.1171670019525, 331.62053915462263, 475.3895057730141, 797.4995792903246]"
31N_4127_2991_13-2019-05-01,"[561.9524021148682, 803.9352321624756, 808.3227758407593, 2725.736090660095]","[346.118814473578, 324.7116269314069, 462.3012333107571, 777.7589070498495]"
31N_4127_2991_13-2019-05-07,"[543.6455154418945, 786.2622232437134, 791.925726890564, 2719.070677757263]","[297.88252441960867, 286.8755290636735, 400.59488506534075, 670.8039874389109]"
31N_4127_2991_13-2019-05-14,"[557.4249029159546, 800.3270311355591, 811.41175365448, 2700.8106689453125]","[357.6430719689871, 337.13160523772905, 470.7538277123501, 732.8270535053123]"
31N_4127_2991_13-2019-05-21,"[594.5171051025391, 835.998607635498, 865.5125913619995, 2702.907802581787]","[342.141584852515, 319.291461937662, 455.51961432575916, 605.5050192314814]"
31N_4127_2991_13-2019-05-28,"[582.5862436294556, 823.6077852249146, 851.1215991973877, 2688.8538694381714]","[357.55538275990125, 332.721864415063, 469.76247099479207, 594.8855062564633]"
31N_4127_2991_13-2019-06-01,"[573.7510042190552, 813.0828695297241, 839.1070375442505, 2684.856641769409]","[362.2564120971628, 340.4587566868857, 476.85525474159704, 607.7646945666872]"
31N_4127_2991_13-2019-06-07,"[563.3482370376587, 807.6430397033691, 850.1860179901123, 2700.4558935165405]","[375.78725918564703, 368.1478636291484, 500.9568291340436, 635.427931261038]"
31N_4127_2991_13-2019-06-14,"[593.3512134552002, 822.839653968811, 877.3973226547241, 2634.0457849502563]","[341.20937058763894, 340.3280349943875, 463.36053598708384, 564.0883153503124]"
31N_4127_2991_13-2019-06-21,"[625.7483530044556, 849.1060380935669, 923.7314805984497, 2568.03178024292]","[317.7786314865593, 324.1736387172457, 442.85972608915347, 520.35752422097]"
31N_4127_2991_13-2019-06-28,"[648.4938640594482, 874.0771551132202, 971.3869190216064, 2546.5432024002075]","[316.68208974869304, 322.8326175753118, 438.14111131061617, 527.2070156271778]"
31N_4127_2991_13-2019-07-01,"[652.2928762435913, 876.8595743179321, 987.3266000747681, 2539.452527999878]","[299.23363419818304, 311.4194628598157, 424.2892240195494, 502.31446693222205]"
31N_4127_2991_13-2019-07-07,"[657.6605072021484, 877.8146886825562, 998.9434127807617, 2522.4588413238525]","[293.16470255110863, 323.6796247435817, 424.6782428491445, 464.2195204019836]"
31N_4127_2991_13-2019-07-14,"[657.0936765670776, 884.6658430099487, 1019.2924823760986, 2508.202648162842]","[316.38359453249944, 337.53573478848625, 454.4558303199844, 547.1780855118476]"
31N_4127_2991_13-2019-07-21,"[661.2707071304321, 889.9243183135986, 1033.689133644104, 2485.802556037903]","[293.5961840305034, 318.1333003223033, 441.1261569325238, 481.69878235468576]"
31N_4127_2991_13-2019-07-28,"[664.7388286590576, 891.924337387085, 1031.5965328216553, 2460.6576375961304]","[336.4880017585078, 343.11034222349934, 463.75422592988616, 497.4004388371784]"
31N_4127_2991_13-2019-08-01,"[649.8307189941406, 875.7117700576782, 1008.1535625457764, 2423.4527549743652]","[353.61380318592154, 351.97708714614555, 473.90585470518465, 513.0235689685604]"
31N_4127_2991_13-2019-08-07,"[635.5389356613159, 859.072413444519, 982.3036766052246, 2393.082642555237]","[356.35448699484266, 350.4124420097584, 475.1338522741682, 538.758018583951]"
31N_4127_2991_13-2019-08-14,"[604.5972423553467, 832.0175189971924, 933.2301559448242, 2416.1305446624756]","[330.4950797463344, 338.537887611242, 453.2735244814116, 524.525168465287]"
31N_4127_2991_13-2019-08-21,"[591.6687602996826, 812.5544481277466, 882.6022253036499, 2444.1728715896606]","[318.15739448133183, 330.9145858445199, 448.58568236424446, 536.6460425938168]"
31N_4127_2991_13-2019-08-28,"[585.9988880157471, 801.9140453338623, 855.5704593658447, 2482.9175577163696]","[314.00705112252257, 323.0898582709016, 434.04464330814193, 570.4759610283648]"
31N_4127_2991_13-2019-09-01,"[580.6694841384888, 794.8217496871948, 853.4280843734741, 2487.85160446167]","[294.06397929094135, 310.2216719980964, 404.8970674669482, 524.8133634801709]"
31N_4127_2991_13-2019-09-07,"[575.6174688339233, 792.3728332519531, 850.2422142028809, 2447.6612491607666]","[288.7417398382274, 301.47754382660327, 398.29492943461946, 541.4882315624635]"
31N_4127_2991_13-2019-09-14,"[618.1956872940063, 825.6730470657349, 905.7227325439453, 2421.7983751296997]","[285.9115383337276, 315.2362452690917, 404.36909715022534, 509.3888226911145]"
31N_4127_2991_13-2019-09-21,"[626.8600606918335, 839.0896215438843, 939.113130569458, 2342.995535850525]","[295.73039366470493, 319.2257184430876, 407.10828766359106, 532.9415230728171]"
31N_4127_2991_13-2019-09-28,"[613.5283832550049, 816.5497074127197, 926.078914642334, 2277.217688560486]","[309.1663295749698, 331.66471933952187, 417.4940082096918, 600.1249983558553]"
31N_4127_2991_13-2019-10-01,"[603.1620378494263, 800.3169555664062, 911.7293586730957, 2230.077609062195]","[311.1704441740623, 332.92426477715236, 418.3155880150939, 624.1609822565961]"
31N_4127_2991_13-2019-10-07,"[594.0313787460327, 784.3546133041382, 895.8394298553467, 2192.0428047180176]","[311.30737042913114, 324.52183606182786, 408.886888059832, 639.9730100265956]"
31N_4127_2991_13-2019-10-14,"[569.7503929138184, 754.1514596939087, 850.0800647735596, 2047.6406650543213]","[268.72192541675884, 290.18905051727404, 375.08078209876993, 606.5044386813602]"
31N_4127_2991_13-2019-10-21,"[570.7660808563232, 753.1741666793823, 855.4678754806519, 2073.8264236450195]","[261.9248533585916, 284.80622459307517, 377.64032584691273, 591.0514027464191]"
31N_4127_2991_13-2019-10-28,"[565.2600660324097, 748.4503183364868, 849.8604907989502, 2091.0173263549805]","[263.53336476821846, 288.71221709964254, 391.474942297915, 604.0719263131393]"
31N_4127_2991_13-2019-11-01,"[539.24964427948, 721.1258955001831, 817.0269289016724, 2060.405863761902]","[244.71488400174516, 265.93331964599923, 357.3218053468615, 568.3547530316274]"
31N_4127_2991_13-2019-11-07,"[515.275200843811, 697.605281829834, 788.2360677719116, 2047.56529712677]","[224.24791532112624, 241.332633717755, 324.05677620840623, 535.8009721529044]"
31N_4127_2991_13-2019-11-14,"[476.52964782714844, 662.880784034729, 749.1403379440308, 2044.3908128738403]","[196.37776824220964, 208.2741461975017, 282.4173749789559, 491.2859689634331]"
31N_4127_2991_13-2019-11-21,"[442.8947925567627, 631.684817314148, 716.3375434875488, 2051.068860054016]","[172.5918987884933, 182.77968122938657, 249.16623456713802, 452.9679454584045]"
31N_4127_2991_13-2019-11-28,"[455.71213150024414, 623.7519359588623, 710.8957366943359, 2045.7651567459106]","[186.82867347416064, 202.8362949491638, 266.2111590697968, 508.9581654043385]"
31N_4127_2991_13-2019-12-01,"[470.90779972076416, 620.2327880859375, 712.1989459991455, 2048.0023698806763]","[189.67741087468042, 209.82477326496067, 269.888357534023, 531.2635686304966]"
31N_4127_2991_13-2019-12-07,"[486.9028434753418, 614.7034368515015, 710.8248262405396, 2046.5663928985596]","[203.3541611381984, 228.02880608607958, 286.4951333146207, 576.7904752889489]"
31N_4127_2991_13-2019-12-14,"[487.9943904876709, 604.033821105957, 701.814435005188, 2045.643892288208]","[235.78358112900315, 263.6552149079986, 316.51404046219596, 629.3730147111626]"
31N_4127_2991_13-2019-12-21,"[459.2026424407959, 586.5431518554688, 671.5761127471924, 2002.2835912704468]","[221.64887701748364, 249.71891132849305, 309.5224063839523, 650.7992196393117]"
31N_4127_2991_13-2019-12-28,"[435.51512908935547, 575.2489490509033, 643.3637142181396, 1954.003303527832]","[221.03080935643592, 252.19301761200614, 323.4524852520165, 715.0865968392593]"
31N_4169_3944_13-2018-01-01,"[549.6950693130493, 839.6350040435791, 982.3698711395264, 2576.6437339782715]","[88.86548961476494, 129.99650674145752, 285.82974725652656, 251.46262177983306]"
31N_4169_3944_13-2018-01-07,"[578.9074335098267, 859.6995620727539, 1029.672106742859, 2444.1030702590942]","[65.19049476641447, 107.66767924256315, 249.33726129559625, 215.82378430968217]"
31N_4169_3944_13-2018-01-14,"[568.015625, 857.908857345581, 1021.6888942718506, 2372.1342277526855]","[59.31905252421523, 98.82293213479629, 241.1237158332504, 182.93544748511485]"
31N_4169_3944_13-2018-01-21,"[547.8667583465576, 837.880425453186, 999.0530633926392, 2417.1664819717407]","[61.72266400851098, 97.19700306436499, 241.09620511281452, 238.10368145289672]"
31N_4169_3944_13-2018-01-28,"[548.9702262878418, 829.8237943649292, 984.5537347793579, 2462.6508026123047]","[56.61363082892316, 81.17402370493046, 220.2357692349632, 283.65507797714247]"
31N_4169_3944_13-2018-02-01,"[574.9117193222046, 858.2735757827759, 1041.8816223144531, 2380.813193321228]","[44.94192626276613, 68.43763233804711, 192.2572270189931, 225.91469707122667]"
31N_4169_3944_13-2018-02-07,"[586.8488245010376, 869.6126890182495, 1066.128818511963, 2329.3348865509033]","[43.81836787188815, 70.67262685201689, 190.43310034429416, 201.2492605284572]"
31N_4169_3944_13-2018-02-14,"[575.6853494644165, 856.0819158554077, 1045.1605882644653, 2310.9693603515625]","[49.22887094035126, 77.68693057892759, 196.76570110297519, 193.31128522195704]"
31N_4169_3944_13-2018-02-21,"[564.8041706085205, 843.658730506897, 1028.8480463027954, 2296.4371070861816]","[54.499433567017896, 80.39698831705822, 203.31923704822225, 205.48962204509596]"
31N_4169_3944_13-2018-02-28,"[552.7955856323242, 845.2561454772949, 1008.328616142273, 2401.592122077942]","[58.512437142351, 86.87231325014653, 220.46768364874214, 239.83301732861239]"
31N_4169_3944_13-2018-03-01,"[551.5709571838379, 845.7106018066406, 1006.0371217727661, 2414.4189977645874]","[59.07240795612235, 87.53716126763763, 222.11730576196504, 241.51288744482]"
31N_4169_3944_13-2018-03-07,"[544.8797693252563, 847.7718458175659, 993.9431104660034, 2473.5637531280518]","[62.39954799371165, 90.64988121785476, 230.22158831894237, 249.38107635839881]"
31N_4169_3944_13-2018-03-14,"[537.10999584198, 849.226035118103, 980.8093976974487, 2521.904854774475]","[65.82721924675161, 93.13667181866307, 237.4856824173823, 254.67263339906344]"
31N_4169_3944_13-2018-03-21,"[529.7641916275024, 849.6463985443115, 969.0195140838623, 2552.3819618225098]","[68.89219651839596, 94.31037252444324, 242.83434442025694, 256.679003942826]"
31N_4169_3944_13-2018-03-28,"[519.2030754089355, 848.4779901504517, 951.8914861679077, 2591.299222946167]","[72.30845144850777, 94.64092956078142, 249.1308056982286, 261.51463737222775]"
31N_4169_3944_13-2018-04-01,"[513.023832321167, 847.6710195541382, 941.6000337600708, 2612.2812271118164]","[75.27665979860811, 95.74245979747319, 253.53628750790088, 264.2540552401941]"
31N_4169_3944_13-2018-04-07,"[502.4719705581665, 845.4287033081055, 924.4069747924805, 2643.790153503418]","[80.36640028791416, 97.63034637825828, 261.1439288825342, 268.75878214725986]"
31N_4169_3944_13-2018-04-14,"[489.2165994644165, 842.2912693023682, 903.8599538803101, 2677.034224510193]","[86.83882811155493, 99.51334597882284, 269.730460722941, 273.0653055680104]"
